accuracy,precision,recall,f1_score,auc,Modelo,Version,Cambios
0.5966386554621849,0.5870816627304516,0.5966386554621849,0.5486629989636017,0.7257596612990609,DNN,1,Variacion de capas
0.3963585434173669,0.6194469365875399,0.3963585434173669,0.2643026060574574,0.6910290390457895,DNN,2,Variacion de capas
0.4425770308123249,0.6098941532129014,0.4425770308123249,0.370728532057839,0.7456731229651886,DNN,3,Variacion de capas
0.3277310924369748,0.3172265454634587,0.3277310924369748,0.21389190526407512,0.4713415325661876,DNN,4,Variacion de capas
0.5140056022408963,0.5658853049014316,0.5140056022408963,0.4643906849150439,0.7688951787868888,DNN,5,Variacion de capas
0.5448179271708683,0.6510231239949388,0.5448179271708683,0.5445927484544049,0.7595981788098803,DNN,1,Aumento de neuronas
0.5,0.664542866057446,0.5,0.44960694092658154,0.7862855727130936,DNN,2,Aumento de neuronas
0.3599439775910364,0.1309346772416832,0.3599439775910364,0.1920195472627774,0.4973376092784774,DNN,3,Aumento de neuronas
0.5168067226890757,0.617170614883273,0.5168067226890757,0.4571844324104542,0.7752239472185818,DNN,4,Aumento de neuronas
0.5392156862745098,0.6054773324583498,0.5392156862745098,0.5257363593776958,0.7527288200947112,DNN,5,Aumento de neuronas
0.592436974789916,0.669824002542627,0.592436974789916,0.5380429840154392,0.7996147717976491,DNN,6,Aumento de neuronas
0.5154061624649859,0.6153397441450807,0.5154061624649859,0.4934185429358862,0.772711661814609,DNN,7,Aumento de neuronas
0.4957983193277311,0.5687813300185466,0.4957983193277311,0.5054453024835234,0.7308733108153462,DNN,1,Variacion de batch_size
0.6022408963585434,0.5905712542429096,0.6022408963585434,0.5896976150252465,0.7875314250363127,DNN,2,Variacion de batch_size
0.5560224089635855,0.5565429489632805,0.5560224089635855,0.5397643437725914,0.775875819688962,DNN,3,Variacion de batch_size
0.5238095238095238,0.5179176706980433,0.5238095238095238,0.504480599890806,0.7529019257686006,DNN,4,Variacion de batch_size
0.4425770308123249,0.49251430042556527,0.4425770308123249,0.3370712708160187,0.652175893841154,DNN,5,Variacion de batch_size
0.6820728291316527,0.6946369960667914,0.6820728291316527,0.6845045592750647,0.8444460168840656,DNN,1,Modificacion del learning_rate
0.5042016806722689,0.6231560688174079,0.5042016806722689,0.4553156478174372,0.7574312129429971,DNN,2,Modificacion del learning_rate
0.48599439775910364,0.3105431396502535,0.48599439775910364,0.3789078051488852,0.7600856999843346,DNN,3,Modificacion del learning_rate
0.3627450980392157,0.1315840061514802,0.3627450980392157,0.19311609535900692,0.49991161185248,DNN,4,Modificacion del learning_rate
0.6456582633053222,0.6857347138574666,0.6456582633053222,0.6499187675697885,0.8201720060905678,DNN,1,Modificacion de activaciones
0.4649859943977591,0.5247766321440858,0.4649859943977591,0.39142356921507254,0.6399747800116775,DNN,2,Modificacion de activaciones
0.6498599439775911,0.6656599580281104,0.6498599439775911,0.653047367819795,0.8275947343168907,DNN,3,Modificacion de activaciones
0.5672268907563025,0.5717724908034795,0.5672268907563025,0.5141847312426684,0.7145288667618024,DNN,1,Dropout
0.7282913165266106,0.7596733627441971,0.7282913165266106,0.7290984113283806,0.8993584310408383,DNN,2,Dropout
0.8865546218487395,0.8910010496089668,0.8865546218487395,0.887541125224871,0.9739689244430713,DNN,1,Data Aumentation
