accuracy,precision,recall,f1_score,auc,Modelo,Version,Cambios
0.8403361344537815,0.8426234065361339,0.8403361344537815,0.8405137156166328,0.9436246105349877,CNN,1,Variacion de capas
0.834733893557423,0.8379657713215671,0.834733893557423,0.8353819204837927,0.9426947407555013,CNN,2,Variacion de capas
0.7689075630252101,0.7849266050506223,0.7689075630252101,0.7567460299448486,0.9065770791414498,CNN,3,Variacion de capas
0.3627450980392157,0.1315840061514802,0.3627450980392157,0.19311609535900692,0.5,CNN,4,Variacion de capas
0.834733893557423,0.837134582265313,0.834733893557423,0.8356097770308548,0.9488650359861867,CNN,1,Variacion de capas Densas
0.8291316526610645,0.8305628412457629,0.8291316526610645,0.8295349603589726,0.9424193314049895,CNN,2,Variacion de capas Densas
0.8599439775910365,0.8661714944734917,0.8599439775910365,0.8608670131316639,0.9503528271465874,CNN,1,Dropout capas densas
0.7899159663865546,0.8005655824028733,0.7899159663865546,0.7909247524798269,0.9237891754543398,CNN,2,Dropout capas densas
0.8501400560224089,0.8537770078185681,0.8501400560224089,0.850621087069877,0.9567703966076092,CNN,3,Dropout capas densas
0.8417366946778712,0.8547967730011075,0.8417366946778712,0.8443406839319749,0.9511562574228782,CNN,1,Dropout capas convolucionales
0.8683473389355743,0.8779315359802684,0.8683473389355743,0.8696442594567614,0.963288260516837,CNN,2,Dropout capas convolucionales
0.3627450980392157,0.1315840061514802,0.3627450980392157,0.19311609535900692,0.50008838814752,CNN,3,Dropout capas convolucionales
0.8389355742296919,0.8482399429532714,0.8389355742296919,0.8404998120981763,0.9517052151724936,CNN,4,Dropout capas convolucionales
0.7605042016806722,0.7749115614383633,0.7605042016806722,0.762461244159626,0.9021244291940818,CNN,5,Dropout capas convolucionales
0.3627450980392157,0.1315840061514802,0.3627450980392157,0.19311609535900692,0.5007735886762399,CNN,6,Dropout capas convolucionales
0.3627450980392157,0.1315840061514802,0.3627450980392157,0.19311609535900692,0.5,CNN,7,Dropout capas convolucionales
0.8375350140056023,0.8388991816820781,0.8375350140056023,0.8378975262747145,0.9467119850935707,CNN,1,Variacion de batch_size
0.8095238095238095,0.8379588933167608,0.8095238095238095,0.8077207567254805,0.9568171821702937,CNN,2,Variacion de batch_size
0.8585434173669467,0.8639961312053492,0.8585434173669467,0.8595472179440203,0.9517573447648543,CNN,3,Variacion de batch_size
0.7913165266106442,0.7989894070265717,0.7913165266106442,0.7926379863799924,0.9204002704958604,CNN,4,Variacion de batch_size
0.3599439775910364,0.12955966700405652,0.3599439775910364,0.19053677083603782,0.5,CNN,4,Variacion de batch_size
0.3697478991596639,0.4484297259980479,0.3697478991596639,0.21113997304149937,0.5084963327289841,CNN,1,Modificacion del learning_rate
0.3627450980392157,0.1315840061514802,0.3627450980392157,0.19311609535900692,0.5007293946024799,CNN,2,Modificacion del learning_rate
0.8697478991596639,0.8726998571422185,0.8697478991596639,0.8706286034532302,0.9618650244201498,CNN,3,Modificacion del learning_rate
0.3599439775910364,0.12955966700405652,0.3599439775910364,0.19053677083603782,0.5,CNN,4,Modificacion del learning_rate
0.8011204481792717,0.8137139691762736,0.8011204481792717,0.8042498860119702,0.9256699231587122,CNN,1,Aumento de neuronas
0.865546218487395,0.8737033282770899,0.865546218487395,0.867400592336987,0.9640349177078122,CNN,2,Aumento de neuronas
0.8641456582633054,0.8761984702107655,0.8641456582633054,0.8662603412655607,0.9641727674152302,CNN,3,Aumento de neuronas
0.8361344537815126,0.8365754490732915,0.8361344537815126,0.8356654814944,0.9343653361900156,CNN,4,Aumento de neuronas
0.8221288515406162,0.839367267606461,0.8221288515406162,0.8246598543227965,0.9450584785417182,CNN,1,Aumento de filtros
0.876750700280112,0.8765430353959767,0.876750700280112,0.8765512331219013,0.9663582884198187,CNN,2,Aumento de filtros
0.9453781512605042,0.9452013128483717,0.9453781512605042,0.9452247881613663,0.9909565858451037,CNN,1,Data Aumentation
